Natural Philosophy,Will,Science,Class2,Fly,Description,Ranged,Manipulation,Skills,UniqueMonster,subtype1,subtype5,Initiative,Type,Disable Device,id,Escape Artist,Swim,Occult,MR,Mythic,Class1,MT,Stealth,Bluff,Int,Politics,Knowledge (geography),subtype4,RacialMods,Str,Weaponry,Wis,AC_Flat-footed,Computer,Dexterity,subtype6,OtherGear,Appraise,Crafts,Willpower,Speed_Special,Climb,Class1_Lvl,Organization,Persuasion,Empathy,AC,Burrow_Speed,Base_Speed,Knowledge (history),Gear,Knowledge (nature),Profession,Larceny,Exoterica,Size,Armor,Linguistics,Heal,Knowledge (engineering),Speed_Land,Expression,subtype3,Animal Ken,Knowledge (planes),Sleight of Hand,Class2_Lvl,Knowledge (dungeoneering),Brawl,Fly_Speed,Melee,Drive,Wits,Perform,Alignment,Streetwise,Reach,Socialize,Knowledge (nobility),Name,Fort,Strength,Spellcraft,Athletics,Ride,CharacterFlag,Ref,subtype2,Integrity,Maneuverability,Composure,"Source
",Stamina,Intimidation,Medicine,Resolve,Feats,ClassArchetypes,Burrow,CR,Intelligence,Defense,Craft,AC_Touch,Dex,Health,Presence,Languages,Subterfuge,SQ,CofDRanged,Environment,VariantParent,Use Magic Device,Sense Motive,Handle Animal,Climb_Speed,AlternateNameForm,Treasure,Speed,Group,Investigation,Diplomacy,Academics,CofDMelee,Knowledge (arcana),Firearms,HP,Acrobatics,Disguise,XP,Knowledge (local),CompanionFlag,CompanionFamiliarLink,Space,Race,Survival,Intimidate,Con,Perception,Knowledge (religion),HD,Cha,Swim_Speed
0,6,0,,0,,,3,"Perception +9 (+11 vs. half-fiends and tieflings), Sense Motive +2 (+4 vs. half-fiends and tieflings), Stealth +5",0,chaotic,,5,magical beast,0,3437,0,0,0,0,0,,0,1,0,8,0,0,,+2 Perception and Sense Motive vs. half-fiends and tieflings,20,1,14,17,1,3,,,0,1,4,,0,,"solitary, pair, or pack (4-11)",0,1,20,,50,0,,0,0,0,0,8,4,0,0,0,1,3,extraplanar,0,0,0,,0,1,,bite +11 (1d8+7 plus trip),0,2,0,CE,0,5,0,0,Abyssal Wolf,10,5,0,0,0,0,8,evil,1,,2,Tome of Horrors Complete,5,0,0,2,"Improved Initiative, Iron Will, Power Attack, Toughness",,0,7,1,3,0,12,17,13,3,"Abyssal, Common",0,,,The Abyss,,0,1,0,,,none,13,,0,0,0,"[['bite ', 2]]",0,1,80,0,0,"3,200",0,0,NULL,10,,0,0,20,1,0,7d10+42,17,
0,3,0,,1,,,1,"Bluff +8, Fly +21, Knowledge (planes) +6, Perception +9, Stealth +15",0,devil,,6,outsider,0,1160,0,0,0,0,0,,0,1,1,9,0,0,lawful,,11,0,15,13,1,4,,,0,1,4,,0,,"solitary, pair, or swarm (3-28)",0,0,17,,20,0,,0,0,0,0,4,4,0,0,0,1,1,extraplanar,0,1,0,,0,0,60,bite +5 (1d6 plus 1d6 acid and disease),0,2,0,LE,0,5,0,0,Accuser,6,1,0,0,0,0,10,evil,3,,2,PFRPG Bestiary 2,2,0,0,2,"Improved Initiative, Lightning Reflexes",,0,3,1,4,0,15,18,6,1,"Celestial, Draconic, Infernal; telepathy 100 ft.",1,infernal eye,,any (Hell),,0,0,0,,Zebub,standard,10,Devil,0,0,0,"[['bite ', 2]]",0,0,30,0,0,800,0,0,NULL,5,,0,0,14,1,0,4d10+8,12,
0,4,0,,1,,,3,"Acrobatics +11 (+19 jump), Climb +14, Fly +0, Perception +12, Sense Motive +12, Stealth +7, Swim +14",0,evil,,3,outsider,0,1080,0,1,0,0,0,,0,1,0,11,0,0,,,19,1,14,18,1,1,,,0,1,4,,1,,solitary or flock (5-8),0,1,20,,50,0,,0,0,0,0,8,4,0,0,0,1,3,lawful,0,0,0,,0,1,,"bite +10 (2d6+4), 2 claws +10 (1d6+4)",0,2,0,LE,0,10 with claw,0,0,Achaierai,7,4,0,1,0,0,6,extraplanar,3,,2,PFRPG Bestiary 2,2,0,0,2,"Combat Reflexes, Dodge, Mobility, Spring Attack",,0,5,1,3,0,11,13,10,3,Infernal,0,,,any land (Hell),,0,1,0,,,standard,10,,0,0,0,"[['bite ', 3], [' 2 claws ', 2]]",0,1,52,1,0,"1,600",0,0,NULL,10,,0,0,14,1,0,7d10+14,16,
0,0,0,,0,,,1,Stealth +12,0,,,3,construct,0,871,0,0,0,0,0,,0,1,0,-,0,0,,+6 Stealth,12,0,11,24,1,2,,,0,1,2,,0,,"solitary, pair, or nest (3-10)",0,0,25,,40,0,,0,0,0,0,4,4,0,0,0,1,1,,0,0,0,,0,0,,bite +3 (1d6+1 plus poison),0,1,0,N,0,5,0,0,Adamantine Cobra,0,1,0,0,0,0,2,,5,,1,d20pfsrd,1,0,0,1,,,0,3,1,2,0,13,15,5,1,,0,find target,,any,NULL,0,0,0,,,none,8,Cobra,0,0,0,"[['bite ', 2]]",0,0,20,0,0,800,0,0,NULL,5,,0,0,-,0,0,1d10+15,1,
0,10,0,,0,,,1,,0,,,2,construct,0,1233,0,0,0,0,0,,0,0,0,-,0,0,,,36,0,11,33,1,1,,,0,1,2,,0,,solitary or gang (2-4),0,0,33,,30,0,,0,0,0,0,20,4,0,0,0,1,1,,0,0,0,,0,0,,2 slams +41 (6d10+13/19-20),0,1,0,N,0,15,0,0,Adamantine Golem,10,13,0,0,0,0,9,,5,,1,PFRPG Bestiary 2,1,0,0,1,,,0,19,1,1,0,7,9,21,1,,0,,,any,NULL,0,0,0,,,none,19,Golem,0,0,0,"[['2 slams ', 5]]",0,0,205,0,0,"204,800",0,0,NULL,15,,0,0,-,0,0,30d10+40,1,
0,5,0,,1,,,1,Fly +18,0,swarm,,7,construct,0,3043,0,0,0,0,0,,0,0,0,-,0,0,,,1,1,11,18,1,6,,,0,1,2,,0,,"solitary, cloud (2-4 swarms) or plague (5-8 swarms)",0,0,24,,5,0,,0,0,0,0,1,4,0,0,0,1,1,,0,0,0,,0,1,,swarm (3d6 plus poison),0,1,0,N,0,0,0,0,Adamantine Wasp Swarm,5,1,0,0,0,0,11,,5,good,1,Tome of Horrors Complete,1,0,0,1,,,0,10,1,6,0,24,22,2,1,,0,,,any,,0,0,0,,,none,12,Adamantine Wasp,0,0,0,[],0,1,82,0,0,"9,600",0,0,NULL,10,,0,0,-,0,0,15d10,2,
0,5,0,,0,,spear +8 (1d8+3/x3),1,"Intimidate +8, Perception +8, Stealth +10, Swim +18",0,aquatic,,4,monstrous humanoid,0,1958,0,1,0,0,0,,0,1,0,10,0,0,,,16,0,13,12,1,3,,,0,1,2,,0,,"solitary, hunting party (2-6), or tribe (7-12)",0,0,15,,10,0,,0,0,0,0,5,4,0,0,0,1,1,,0,0,0,,0,0,,"spear +8 (1d8+4/x3 plus poison), bite +2 (1d6+3)",0,1,0,NE,0,5,0,0,Adaro,3,3,0,0,0,0,7,,2,,1,PFRPG Bestiary 3,2,1,0,1,"Deadly Aim, Weapon Focus (spear)",,0,3,1,3,0,13,17,7,1,"Aquan, Common; speak with sharks",0,"amphibious, poison use","[['spear ', 2]]",warm oceans,,0,0,0,,,"standard (3 spears, other treasure)",11,,0,0,0,"[['spear ', 2], [' bite ', 2]]",0,0,30,0,0,800,0,0,NULL,5,,0,1,14,1,0,4d10+8,13,50
0,14,0,,0,,,2,"Acrobatics +15, Climb +42, Escape Artist +26, Perception +26, Stealth +18, Survival +16",0,,,4,aberration,0,4699,1,0,0,0,0,,0,1,0,12,0,0,,,31,0,14,26,1,2,,,0,1,4,,1,,solitary,0,0,28,,40,0,,0,0,0,0,20,4,0,0,0,1,2,,0,0,0,,0,0,,"4 tentacles +24 (2d6+10 plus grab), bite +24 (4d6+10 plus poison)",0,2,0,CE,0,10,0,0,Addath,15,10,0,1,0,0,11,,1,,2,Tome of Horrors 4,6,0,0,2,"Bleeding Critical, Cleave, Critical Focus, Great Fortitude, Improved Critical (tentacle), Improved Initiative, Lightning Reflexes, Power Attack, Vital Strike, Weapon Focus (bite), Weapon Focus (tentacle)",,0,16,1,3,0,10,15,26,2,"Common, Undercommon",0,,,any underground,NULL,0,0,0,,,standard,17,,0,0,0,"[['4 tentacles ', 3], [' bite ', 5]]",0,0,220,1,0,"76,800",0,0,NULL,15,,1,0,23,1,0,21d8+126,14,
0,9,0,,0,,,1,"Perception +21, Swim +25",0,aquatic,,6,magical beast,0,3326,0,1,0,0,0,,0,0,0,2,0,0,,,36,1,15,24,1,4,,,0,1,4,,0,,solitary or pair,0,0,28,,10,0,,0,0,0,0,40,4,0,0,0,1,1,,0,0,0,,0,1,,"bite +26 (4d6+13/19-20), 2 claw +26 (2d8+13/19-20), tail slap +21 (2d8+6)",0,2,0,N,0,20 (30 with tail slap),0,0,Addu,17,13,0,0,0,0,14,,5,,2,AP 60,7,0,0,2,"Critical Focus, Endurance, Improved Critical (bite), Improved Critical (claw), Improved Iron Will, Iron Will, Power Attack, Sickening Critical, Vital Strike",,0,15,1,4,0,10,18,47,1,,0,,,warm oceans,,0,0,0,,,none,22,,0,0,0,"[['bite ', 5], [' 2 claw ', 5], [' tail slap ', 5]]",0,1,212,0,0,"51,200",0,0,NULL,20,,0,0,25,1,0,17d10+119,13,
0,5,0,,0,,,1,"Climb +10, Craft (cloth) +3, Craft (traps) +1, Perception +5, Stealth +11",0,,,4,monstrous humanoid,0,1959,0,0,0,0,0,,0,1,0,4,0,0,,"+2 Craft (cloth), +4 Stealth",14,0,13,14,1,3,,,0,1,2,,1,,"solitary, gang (2-5), or nest (6-12)",0,0,17,,30,0,,0,0,0,0,5,4,0,0,0,1,1,,0,0,0,,0,0,,2 slams +6 (1d6+2 plus grab),0,1,0,LE,0,5,0,0,Adherer,3,2,0,0,0,0,7,,3,,1,PFRPG Bestiary 3,2,0,0,1,"Agile Maneuvers, Combat Reflexes",,0,3,1,3,0,13,16,7,1,Aklo,0,adhesive,,any temperate or underground,,0,0,0,10,,standard,10,,0,0,0,"[['2 slams ', 2]]",0,0,30,0,0,800,0,0,NULL,5,,0,0,15,1,0,4d10+8,11,
0,4,0,,0,,,1,"Perception +8, Stealth +6 (+14 Stealth when using sticks and leaves to camouflage itself in its natural environment)",0,,,2,aberration,0,1843,0,0,0,0,0,,0,1,0,4,0,0,,+8 Stealth when using sticks and leaves to camouflage itself in its natural environment,14,0,11,15,1,1,,,0,1,2,,0,,solitary or gang (2-4),0,0,16,,30,0,,0,0,0,0,5,4,0,0,0,1,1,,0,0,0,,0,0,,2 slams +6 (1d6+2 plus adhesive),0,1,0,LE,0,5,0,0,Adherer,3,2,0,0,0,0,2,,3,,1,Tome of Horrors Complete,2,0,0,1,"Skill Focus (Perception), Weapon Focus (slam)",,0,3,1,1,0,11,12,7,1,Common (can't speak),0,,,temperate forests,,0,0,0,,,none,8,,0,0,0,"[['2 slams ', 2]]",0,0,26,0,0,800,0,0,NULL,5,,0,0,14,1,0,4d8+8,11,
0,9,0,,0,,,3,"Acrobatics +15 (+19 when jumping), Bluff +15, Escape Artist +21, Intimidate +11, Knowledge (planes) +9, Perception +19, Perform (dance) +14, Stealth +15",0,asura,,6,outsider,0,1972,1,0,0,0,0,,0,1,1,13,0,0,lawful,"Acrobatics (+4 when jumping), +6 Escape Artist, +4 Perception",20,1,16,16,1,3,,,0,1,6,,0,,"solitary, pair, or band (3-12)",0,0,20,,40,0,,0,0,0,0,5,4,0,0,0,1,3,extraplanar,0,1,0,,0,1,,"2 mwk kukris +15/+10 (1d4+5/18-20), 2 claws +9 (1d4+2)",0,3,0,LE,0,5,0,0,Adhukait,6,5,0,1,0,0,11,evil,3,,3,PFRPG Bestiary 3,3,1,0,3,"Combat Reflexes, Dodge, Lightning Reflexes, Mobility, Nimble Moves",,0,7,1,4,0,14,17,8,3,"Common, Infernal; telepathy 100 ft.",1,,,any (Hell),,0,0,0,,,"standard (2 masterwork kukris, other treasure)",13,Asura,0,0,0,"[['2 mwk kukris ', 5], [' 2 claws ', 1]]",0,1,76,1,0,"3,200",0,0,NULL,5,,0,1,17,1,0,9d10+27,16,
0,8,0,,0,,,1,"Acrobatics +13 (+17 when jumping), Climb +12, Handle Animal +9, Heal +5, Perception +13, Stealth +13 (+21 in snow), Survival +20, Swim +9",0,adlet,,11,humanoid,0,1960,0,1,0,0,0,,0,1,0,13,0,0,,+8 Stealth in snow,18,1,17,15,1,8,,,0,1,6,,1,,"solitary, pair, or pack (3-18 plus 1 shaman)",0,0,25,,40,0,,0,0,0,0,5,4,0,1,0,1,1,,0,0,0,,0,1,,"+1 spear +17/+12/+7 (1d8+7/x3), bite +10 (1d6+2 plus 1d6 cold)",0,3,0,CN,0,5,0,0,Adlet,9,4,0,1,0,0,17,cold,4,,3,PFRPG Bestiary 3,4,0,1,3,"Diehard, Dodge, Improved Initiative, Multiattack, Power Attack, Run, Self-Sufficient, Weapon Focus (spear)",,0,10,1,9,0,20,26,9,1,"Common, Adlet",0,arctic stride,,"cold plains, hills, or mountains",,0,0,1,,,"standard (+1 spear, other treasure)",17,,0,0,0,"[['1 spear ', 5], [' bite ', 2]]",0,1,127,1,0,"9,600",0,0,NULL,5,,1,0,18,1,0,15d8+60,13,
0,12,0,,1,,,2,"Fly +12, Handle Animal +16, Intimidate +19, Knowledge (arcana) +19, Perception +24, Spellcraft +19, Stealth +20, Swim +32",0,water,,4,dragon,0,112,0,1,1,0,0,,0,1,0,14,0,0,,,25,1,17,27,2,1,,,0,2,6,,0,,solitary,0,0,28,,60,0,,0,0,0,0,8,4,0,0,0,1,2,,0,0,0,,0,1,200,"bite +21 (2d6+10), 2 claws +20 (1d8+7), 2 wings +15 (1d6+3), tail +15 (1d8+10)",0,3,0,CE,0,5 (10 with bite),0,0,Adult Black Dragon,14,7,1,0,0,0,10,,1,poor,3,PFRPG Bestiary,5,1,0,3,"Alertness, Improved Initiative, Improved Vital Strike, Power Attack, Skill Focus (Stealth), Vital Strike, Weapon Focus (bite)",,0,11,2,3,0,10,12,13,2,"Common, Draconic, Giant",0,"speak with reptiles, swamp stride, water breathing",,warm marshes,,0,0,1,,,triple,13,Chromatic Dragon,0,0,0,"[['bite ', 3], [' 2 claws ', 2], [' 2 wings ', 2], [' tail ', 2]]",1,1,161,0,0,"12,800",0,0,NULL,10,,0,1,21,1,0,14d12+70,14,60
0,13,0,,1,,,3,"Appraise +22, Fly +11, Intimidate +22, Knowledge (local) +22, Knowledge (geography) +22, Perception +22, Spellcraft +22, Stealth +11, Survival +22",0,earth,,4,dragon,0,118,0,0,0,0,0,,0,1,0,16,0,1,,,27,1,17,28,3,1,,,1,3,6,,0,,solitary,0,0,28,20,40,0,,0,0,0,0,20,4,0,0,0,1,3,,0,0,0,,0,1,200,"bite +23 (2d8+12), 2 claws +22 (2d6+8), 2 wings +20 (1d8+4), tail slap +20 (2d6+12)",0,3,0,LE,1,10 (15 with bite),0,0,Adult Blue Dragon,15,8,1,0,0,0,10,,3,poor,3,PFRPG Bestiary,5,1,0,3,"Combat Casting, Dazzling Display, Deadly Stroke, Hover, Improved Initiative, Multiattack, Shatter Defenses, Weapon Focus (bite)",,1,13,3,3,0,8,10,25,3,"Auran, Common, Draconic, Giant",0,sound imitation,,warm deserts,,0,0,0,,,triple,14,Chromatic Dragon,1,0,0,"[['bite ', 5], [' 2 claws ', 3], [' 2 wings ', 2], [' tail slap ', 3]]",0,1,184,0,0,"25,600",1,0,NULL,15,,1,1,21,1,0,16d12+80,16,
